Neuron Name	Soma_Surface_total_sum	N_stems_total_sum	
Pyramid-IIIC-2-5M-7.CNG.swc	1137.95	9.0	
Pyramid-IIIC-2-5M-5.CNG.swc	1156.32	8.0	
GranuleCell-Nr9-Septal.CNG.swc	421.22	1.0	
Pyramid-IIIC-DS-2-5M-2.CNG.swc	1803.97	6.0	
GranuleCell-Nr6-Septal.CNG.swc	438.55	2.0	
GranuleCell-Nr7-Septal.CNG.swc	494.46	2.0	
GranuleCell-Nr7.CNG.swc	414.51	2.0	
GranuleCell-Nr5-Septal.CNG.swc	432.07	2.0	
Pyramid-IIIC-2-5M-4.CNG.swc	929.64	8.0	
GranuleCell-Nr8-Septal.CNG.swc	631.49	2.0	
Pyramid-IIIC-2-5M-6.CNG.swc	887.1	6.0	
GranuleCell-Nr12-Septal.CNG.swc	553.59	1.0	
Pyramid-IIIC-2-5M-3.CNG.swc	974.54	7.0	
Pyramid-IIIC-DS-2-5M-1.CNG.swc	1781.61	6.0	
GranuleCell-Nr11-Septal.CNG.swc	510.39	1.0	
Pyramid-IIIC-DS-2-5M-3.CNG.swc	1502.4	7.0	
GranuleCell-Nr8.CNG.swc	573.81	1.0	
Pyramid-IIIC-2-5M-1.CNG.swc	1017.31	6.0	
GranuleCell-Nr10-Septal.CNG.swc	503.46	1.0	
GranuleCell-Nr2-Septal.CNG.swc	548.31	2.0	
Pyramid-IIIC-DS-2-5M-4.CNG.swc	1232.58	10.0	
Pyramid-IIIC-2-5M-2.CNG.swc	1193.78	7.0	
GranuleCell-Nr4.CNG.swc	528.11	2.0	
GranuleCell-Nr1-Septal.CNG.swc	448.43	2.0	
GranuleCell-Nr1.CNG.swc	405.19	2.0	
GranuleCell-Nr6.CNG.swc	568.25	2.0	
GranuleCell-Nr5.CNG.swc	410.05	2.0	
GranuleCell-Nr2.CNG.swc	557.51	2.0	
GranuleCell-Nr3.CNG.swc	607.36	2.0	
Pyramid-IIIC-2-5M-9.CNG.swc	1068.21	7.0	
GranuleCell-Nr4-Septal.CNG.swc	439.68	1.0	
GranuleCell-Nr3-Septal.CNG.swc	459.04	1.0	
Pyramid-IIIC-2-5M-8.CNG.swc	912.06	7.0	
Pyramid-IIIC-2-5M-10.CNG.swc	861.57	8.0	
No45-Veh.CNG.swc	366.64	4.0	
No09-2-Veh.CNG.swc	972.75	2.0	
04n11023-TTX3.CNG.swc	417.19	3.0	
041012APV1.CNG.swc	871.26	3.0	
040729TTX.CNG.swc	589.31	3.0	
No.CNG.swc	782.41	1.0	
No17-APV.CNG.swc	715.91	3.0	
No56-Veh.CNG.swc	614.24	3.0	
No13-APV.CNG.swc	1082.59	4.0	
04n11023-TTX2.CNG.swc	3105.56	4.0	
03D23APV-1.CNG.swc	703.92	5.0	
03D23APV-2.CNG.swc	1257.13	2.0	
041012APV3.CNG.swc	820.46	2.0	
041015-vehicle2.CNG.swc	329.2	3.0	
No009-Veh.CNG.swc	972.75	2.0	
No31-APV.CNG.swc	1295.24	3.0	
No41-TTX.CNG.swc	1224.76	4.0	
04n11023-vehicle.CNG.swc	934.34	3.0	
041014-vehicle.CNG.swc	0.81	2.0	
040811TTX1.CNG.swc	1073.74	5.0	
No12-APV.CNG.swc	1342.08	5.0	
No64-TTX.CNG.swc	1186.89	3.0	
No61-Veh.CNG.swc	2838.83	2.0	
No62-TTX.CNG.swc	738.9	3.0	
No63-TTX.CNG.swc	2106.25	4.0	
No52-Veh.CNG.swc	614.74	3.0	
No09-Veh.CNG.swc	972.75	2.0	
No50-Veh.CNG.swc	1354.31	6.0	
No36-APV.CNG.swc	739.55	3.0	
No57-TTX.CNG.swc	1783.26	4.0	
No40-A-TTX.CNG.swc	1952.73	3.0	
040728TTX.CNG.swc	798.66	4.0	
04n11024-vehicle2.CNG.swc	887.61	3.0	
No11-no-dentrite-2-APV.CNG.swc	1816.18	3.0	
No37-APV.CNG.swc	1129.49	3.0	
04n11024-APV.CNG.swc	1155.31	3.0	
040712TTX.CNG.swc	438.72	2.0	
041015-vehicle1.CNG.swc	356.2	3.0	
No58-Veh.CNG.swc	2481.32	2.0	
No9-Veh.CNG.swc	972.76	2.0	
040811TTX2.CNG.swc	716.13	4.0	
No40-B-TTX.CNG.swc	1927.05	4.0	
04n11023-TTX1.CNG.swc	1217.76	3.0	
040726TTX2.CNG.swc	NA	NA	
041005APV1.CNG.swc	413.29	3.0	
04n11026-APV1.CNG.swc	690.22	4.0	
040726TTX1.CNG.swc	677.24	3.0	
No48-APV.CNG.swc	964.81	3.0	
No27-Veh.CNG.swc	652.05	3.0	
No16-APV.CNG.swc	1493.62	3.0	
No38-no-dentrite-TTX.CNG.swc	1220.16	2.0	
No44-APV.CNG.swc	1791.95	3.0	
No55-TTX.CNG.swc	4106.14	5.0	
No09-1-Veh.CNG.swc	972.75	2.0	
No39-TTX.CNG.swc	1000.09	3.0	
No60-TTX.CNG.swc	1676.99	3.0	
No11-no-dentrite-APV.CNG.swc	1816.18	3.0	
04n11024-vehicle1.CNG.swc	1324.74	3.0	
041005APV2.CNG.swc	1880.33	3.0	
No51-pyramidal-Veh.CNG.swc	1132.07	8.0	
No10-APV.CNG.swc	455.65	2.0	
040929APV.CNG.swc	1156.82	6.0	
No47-Veh.CNG.swc	731.2	3.0	
No53-TTX.CNG.swc	1061.39	4.0	
04n11024-vehicle3.CNG.swc	1505.41	4.0	
041005APV3.CNG.swc	1438.93	6.0	
A4-May16-IR1-3-D.CNG.swc	95.36	7.0	
A9-May23-IR1-3E.CNG.swc	118.6	7.0	
A4-May16-IR1-3-E.CNG.swc	139.54	6.0	
A6-May-27-IR1-1-B.CNG.swc	103.1	8.0	
May3IR2t-PFC.CNG.swc	396.44	8.0	
Jul16IR2d-V1.CNG.swc	605.78	8.0	
A13-May30-IR1-6J.CNG.swc	84.44	7.0	
A12-May28-IR1-4-F.CNG.swc	101.06	8.0	
A5-May18-IR1-1-B.CNG.swc	167.01	7.0	
A9-May23-IR1-4-G.CNG.swc	130.5	6.0	
A13-May30-IR2-5K.CNG.swc	173.21	9.0	
A1-May29-IR2-1-A.CNG.swc	118.03	7.0	
A10-May-13-IR1-3-E.CNG.swc	105.32	7.0	
A3-May14-IR1-6-I.CNG.swc	93.11	6.0	
A1-May29-IR1-2-E.CNG.swc	231.78	6.0	
A12-May28-IR1-3C.CNG.swc	766.33	9.0	
